DFG Instituts ID,ROR ID,Name deutsch,Name englisch,Strasse,Hausnummer,Postfach,Postleitzahl vor Ort,Ort,Postleitzahl nach Ort,Einrichtungsart,Einrichtungsart englisch,DESTATIS Fächergruppe,DESTATIS Fächergruppe englisch,DESTATIS Lehr- Forschungsbereich,DESTATIS Lehr- Forschungsbereich englisch,DESTATIS Fachgebiet,DESTATIS Fachgebiet englisch,URL der Einrichtung,URL GERiT Nachweis
10045,https://ror.org/031bsb921,Universität Mannheim,University of Mannheim,Schloss,,,68131,Mannheim,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-mannheim.de,http://www.gerit.org/de/institutiondetail/10045
10047,https://ror.org/038t36y30,Ruprecht-Karls-Universität Heidelberg,Heidelberg University,Grabengasse,1,,69117,Heidelberg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-heidelberg.de/,http://www.gerit.org/de/institutiondetail/10047
10049,https://ror.org/00b1c9541,Universität Hohenheim,University of Hohenheim,,,,70593,Stuttgart,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-hohenheim.de,http://www.gerit.org/de/institutiondetail/10049
10051,https://ror.org/03a1kwz48,Eberhard Karls Universität Tübingen,University of Tübingen,Geschwister-Scholl-Platz,,,72074,Tübingen,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-tuebingen.de,http://www.gerit.org/de/institutiondetail/10051
10053,https://ror.org/0546hnb39,Universität Konstanz,University of Konstanz,Universitätsstraße,10,,78464,Konstanz,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-konstanz.de,http://www.gerit.org/de/institutiondetail/10053
10055,https://ror.org/0245cg223,Albert-Ludwigs-Universität Freiburg,University of Freiburg,,,,79085,Freiburg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-freiburg.de/,http://www.gerit.org/de/institutiondetail/10055
10057,https://ror.org/032000t02,Universität Ulm,Ulm University,Helmholtzstraße,16,,89081,Ulm,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-ulm.de/,http://www.gerit.org/de/institutiondetail/10057
10059,https://ror.org/04vnq7t77,Universität Stuttgart,University of Stuttgart,,,Postfach 106037,70049,Stuttgart,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.uni-stuttgart.de/home/,http://www.gerit.org/de/institutiondetail/10059
10063,https://ror.org/0044w3h23,Pädagogische Hochschule Heidelberg,University of Education,Keplerstraße,87,,69120,Heidelberg,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.ph-heidelberg.de,http://www.gerit.org/de/institutiondetail/10063
10064,https://ror.org/02g2sh456,Pädagogische Hochschule Schwäbisch Gmünd,University of Education Schwäbisch Gmünd,Oberbettringer Straße,200,,73525,Schwäbisch Gmünd,,Universität,University,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excl. Clinical Facilities),Hochschule insgesamt,Universities (General),Hochschule allgemein,Universities (General),www.ph-gmuend.de,http://www.gerit.org/de/institutiondetail/10064
